DATE,median,p10,p90,RISK_LEVEL,ALERT_IF_P90_HIGH,ALERT_IF_P90_VERY_HIGH,THRESH_Q50,THRESH_Q75,THRESH_Q90
2027-01-01,15.844290368258951,0.5158341117203243,39.4668775498867,LOW,False,False,94.0,325.0,890.6
2027-02-01,11.91752027720213,0.0,31.89554954320192,LOW,False,False,94.0,325.0,890.6
2027-03-01,11.165237873792648,0.0,28.91774681210517,LOW,False,False,94.0,325.0,890.6
2027-04-01,28.000395968556404,7.808654496446252,43.97309461236,LOW,False,False,94.0,325.0,890.6
2027-05-01,43.45741882920265,21.69424922019244,62.90858283638954,LOW,False,False,94.0,325.0,890.6
2027-06-01,93.46148699522018,71.30658803880215,123.92669999599455,LOW,False,False,94.0,325.0,890.6
2027-07-01,150.1889504492283,124.63016477227212,178.00464177131653,MODERATE,False,False,94.0,325.0,890.6
2027-08-01,164.4629067182541,137.7844242155552,197.04249501228333,MODERATE,False,False,94.0,325.0,890.6
2027-09-01,151.7945198714733,129.02989450097084,174.08892118930817,MODERATE,False,False,94.0,325.0,890.6
2027-10-01,106.9539076089859,82.84988495707512,127.79594427347185,MODERATE,False,False,94.0,325.0,890.6
2027-11-01,58.21010477840901,31.95140822976828,84.96561187505722,LOW,False,False,94.0,325.0,890.6
2027-12-01,13.742598220705986,0.0,35.10039543360472,LOW,False,False,94.0,325.0,890.6
2028-01-01,10.565684214234352,0.0,28.57098716497421,LOW,False,False,94.0,325.0,890.6
2028-02-01,4.096292518079281,0.0,24.930028192698952,LOW,False,False,94.0,325.0,890.6
2028-03-01,9.818723313510418,0.0,30.10167399048805,LOW,False,False,94.0,325.0,890.6
2028-04-01,29.6697298809886,10.086371744051576,46.84435573220253,LOW,False,False,94.0,325.0,890.6
2028-05-01,46.986794620752335,23.839265190064907,65.8669212013483,LOW,False,False,94.0,325.0,890.6
2028-06-01,96.752827167511,71.5703765898943,126.7545890212059,MODERATE,False,False,94.0,325.0,890.6
2028-07-01,142.50475600361824,121.5875318646431,172.05969178676605,MODERATE,False,False,94.0,325.0,890.6
2028-08-01,158.90656501054764,133.47847026586533,186.9801025390625,MODERATE,False,False,94.0,325.0,890.6
2028-09-01,149.73671048879623,123.88571241497992,169.30765265226364,MODERATE,False,False,94.0,325.0,890.6
2028-10-01,107.57998332381248,88.34122210741043,127.6482744216919,MODERATE,False,False,94.0,325.0,890.6
2028-11-01,61.964718252420425,43.39366103708744,86.86584749817848,LOW,False,False,94.0,325.0,890.6
2028-12-01,14.351752065122128,0.0,38.67450302839279,LOW,False,False,94.0,325.0,890.6
2029-01-01,12.225565761327744,0.0,32.96624004095792,LOW,False,False,94.0,325.0,890.6
2029-02-01,5.916793253272772,0.0,25.65489815920592,LOW,False,False,94.0,325.0,890.6
2029-03-01,9.468042869120836,0.0,31.85397876799106,LOW,False,False,94.0,325.0,890.6
2029-04-01,27.478712014853954,11.905633047223091,48.82612121105194,LOW,False,False,94.0,325.0,890.6
2029-05-01,48.03098015487194,22.96764808893204,66.72317038476467,LOW,False,False,94.0,325.0,890.6
2029-06-01,100.40896743535995,74.00037796795368,126.20213204622269,MODERATE,False,False,94.0,325.0,890.6
2029-07-01,148.65092530846596,122.6707810163498,175.25472569465637,MODERATE,False,False,94.0,325.0,890.6
2029-08-01,160.66158920526505,132.47265914082527,188.326886177063,MODERATE,False,False,94.0,325.0,890.6
2029-09-01,149.46848273277283,125.0436926484108,175.02030056715012,MODERATE,False,False,94.0,325.0,890.6
2029-10-01,110.05796045064926,87.43940570950508,130.09762260317802,MODERATE,False,False,94.0,325.0,890.6
2029-11-01,61.8707512319088,40.98072218894959,88.00046208500862,LOW,False,False,94.0,325.0,890.6
2029-12-01,18.43022886663676,0.0,41.083654925227165,LOW,False,False,94.0,325.0,890.6
2030-01-01,10.662723109126093,0.0,32.26920633763075,LOW,False,False,94.0,325.0,890.6
2030-02-01,7.053669132292271,0.0,23.967643670737743,LOW,False,False,94.0,325.0,890.6
2030-03-01,11.476087309420109,0.0,31.242940686643124,LOW,False,False,94.0,325.0,890.6
2030-04-01,28.0910312756896,7.750854812562466,45.88137023150921,LOW,False,False,94.0,325.0,890.6
2030-05-01,44.33252424001694,25.25758308172226,67.09015081822872,LOW,False,False,94.0,325.0,890.6
2030-06-01,100.82359656691553,74.25447002053261,127.93602266907692,MODERATE,False,False,94.0,325.0,890.6
2030-07-01,145.87211698293686,121.4821790456772,180.3937987685204,MODERATE,False,False,94.0,325.0,890.6
2030-08-01,160.17620533704758,133.09150186181068,184.5490959882736,MODERATE,False,False,94.0,325.0,890.6
2030-09-01,149.0579555928707,122.37121459841728,177.01551115512848,MODERATE,False,False,94.0,325.0,890.6
2030-10-01,110.82483887672424,85.93366712331772,130.56698006391525,MODERATE,False,False,94.0,325.0,890.6
2030-11-01,63.79158042371273,41.39088255167008,86.6094166636467,LOW,False,False,94.0,325.0,890.6
2030-12-01,13.125454038381577,0.0,39.36520081758499,LOW,False,False,94.0,325.0,890.6
2031-01-01,9.834707453846931,0.0,30.393047973513603,LOW,False,False,94.0,325.0,890.6
2031-02-01,5.950045138597488,0.0,23.25277785211801,LOW,False,False,94.0,325.0,890.6
2031-03-01,11.708825677633286,0.0,27.740213058888912,LOW,False,False,94.0,325.0,890.6
2031-04-01,28.11972327530384,10.745484255254269,45.37417836487293,LOW,False,False,94.0,325.0,890.6
2031-05-01,47.20851004123688,25.99156704545021,67.18850299715996,LOW,False,False,94.0,325.0,890.6
2031-06-01,97.9930144548416,74.01569391787052,123.76541966199876,MODERATE,False,False,94.0,325.0,890.6
2031-07-01,142.81496912240982,123.77440893650056,171.22218888998032,MODERATE,False,False,94.0,325.0,890.6
2031-08-01,156.71305269002914,132.76381093263626,185.6281710863113,MODERATE,False,False,94.0,325.0,890.6
2031-09-01,147.69293010234833,124.18629324436188,170.52040833234787,MODERATE,False,False,94.0,325.0,890.6
2031-10-01,106.6741083562374,87.46208029985428,129.66249459981918,MODERATE,False,False,94.0,325.0,890.6
2031-11-01,64.57408614456654,42.96021124720573,85.32730221748352,LOW,False,False,94.0,325.0,890.6
2031-12-01,17.562082521617413,0.0,38.83744633197784,LOW,False,False,94.0,325.0,890.6
2032-01-01,11.23796969652176,0.0,29.72197137773036,LOW,False,False,94.0,325.0,890.6
2032-02-01,3.4913705848157406,0.0,23.667962461709973,LOW,False,False,94.0,325.0,890.6
2032-03-01,9.941426217556,0.0,30.388185404241085,LOW,False,False,94.0,325.0,890.6
2032-04-01,29.543139785528183,11.346064798533916,45.46569481492042,LOW,False,False,94.0,325.0,890.6
2032-05-01,46.074367091059685,23.435274213552475,67.05841673910618,LOW,False,False,94.0,325.0,890.6
2032-06-01,99.3447408080101,77.07565219700336,127.78667137026788,MODERATE,False,False,94.0,325.0,890.6
2032-07-01,145.87618201971054,121.53672721982002,172.70043581724167,MODERATE,False,False,94.0,325.0,890.6
2032-08-01,160.67814499139786,128.70712596178055,186.20149648189545,MODERATE,False,False,94.0,325.0,890.6
2032-09-01,150.1402346789837,127.42991635203362,170.43924063444138,MODERATE,False,False,94.0,325.0,890.6
2032-10-01,105.70735946297646,88.41461634635925,130.90580642223358,MODERATE,False,False,94.0,325.0,890.6
2032-11-01,65.14432072639465,40.50110512971878,85.23521527647972,LOW,False,False,94.0,325.0,890.6
2032-12-01,15.691011920571327,0.0,37.59456203132867,LOW,False,False,94.0,325.0,890.6
2033-01-01,12.57564164698124,0.0,31.63656397163868,LOW,False,False,94.0,325.0,890.6
2033-02-01,5.309139546006918,0.0,25.71202855557203,LOW,False,False,94.0,325.0,890.6
2033-03-01,9.343234691768885,0.0,31.98097929358482,LOW,False,False,94.0,325.0,890.6
2033-04-01,28.1193595007062,10.95547181367874,45.35989114642143,LOW,False,False,94.0,325.0,890.6
2033-05-01,47.67510697245598,22.20403901487589,67.10547970235348,LOW,False,False,94.0,325.0,890.6
2033-06-01,100.92289432883264,76.29123267531395,126.97986781597136,MODERATE,False,False,94.0,325.0,890.6
2033-07-01,148.01356449723244,121.478656321764,176.74717622995377,MODERATE,False,False,94.0,325.0,890.6
2033-08-01,160.1963272690773,134.1197288930416,189.42147493362427,MODERATE,False,False,94.0,325.0,890.6
