DATE,SET,DENGUE_CASES_TARGET,DENGUE_CASES_TARGET_SCALED,MONTH_SIN,MONTH_COS,PRECIP_TOTAL_MM_LAG_12_SCALED,RH2M_PCT_LAG_12_SCALED,TEMP_MEAN_C_LAG_12_SCALED,TEMP_MAX_C_LAG_12_SCALED,TEMP_MIN_C_LAG_12_SCALED,DENGUE_CASES_LAG_12_SCALED,PRECIP_TOTAL_MM_LAG_11_SCALED,RH2M_PCT_LAG_11_SCALED,TEMP_MEAN_C_LAG_11_SCALED,TEMP_MAX_C_LAG_11_SCALED,TEMP_MIN_C_LAG_11_SCALED,DENGUE_CASES_LAG_11_SCALED,PRECIP_TOTAL_MM_LAG_10_SCALED,RH2M_PCT_LAG_10_SCALED,TEMP_MEAN_C_LAG_10_SCALED,TEMP_MAX_C_LAG_10_SCALED,TEMP_MIN_C_LAG_10_SCALED,DENGUE_CASES_LAG_10_SCALED,PRECIP_TOTAL_MM_LAG_9_SCALED,RH2M_PCT_LAG_9_SCALED,TEMP_MEAN_C_LAG_9_SCALED,TEMP_MAX_C_LAG_9_SCALED,TEMP_MIN_C_LAG_9_SCALED,DENGUE_CASES_LAG_9_SCALED,PRECIP_TOTAL_MM_LAG_8_SCALED,RH2M_PCT_LAG_8_SCALED,TEMP_MEAN_C_LAG_8_SCALED,TEMP_MAX_C_LAG_8_SCALED,TEMP_MIN_C_LAG_8_SCALED,DENGUE_CASES_LAG_8_SCALED,PRECIP_TOTAL_MM_LAG_7_SCALED,RH2M_PCT_LAG_7_SCALED,TEMP_MEAN_C_LAG_7_SCALED,TEMP_MAX_C_LAG_7_SCALED,TEMP_MIN_C_LAG_7_SCALED,DENGUE_CASES_LAG_7_SCALED,PRECIP_TOTAL_MM_LAG_6_SCALED,RH2M_PCT_LAG_6_SCALED,TEMP_MEAN_C_LAG_6_SCALED,TEMP_MAX_C_LAG_6_SCALED,TEMP_MIN_C_LAG_6_SCALED,DENGUE_CASES_LAG_6_SCALED,PRECIP_TOTAL_MM_LAG_5_SCALED,RH2M_PCT_LAG_5_SCALED,TEMP_MEAN_C_LAG_5_SCALED,TEMP_MAX_C_LAG_5_SCALED,TEMP_MIN_C_LAG_5_SCALED,DENGUE_CASES_LAG_5_SCALED,PRECIP_TOTAL_MM_LAG_4_SCALED,RH2M_PCT_LAG_4_SCALED,TEMP_MEAN_C_LAG_4_SCALED,TEMP_MAX_C_LAG_4_SCALED,TEMP_MIN_C_LAG_4_SCALED,DENGUE_CASES_LAG_4_SCALED,PRECIP_TOTAL_MM_LAG_3_SCALED,RH2M_PCT_LAG_3_SCALED,TEMP_MEAN_C_LAG_3_SCALED,TEMP_MAX_C_LAG_3_SCALED,TEMP_MIN_C_LAG_3_SCALED,DENGUE_CASES_LAG_3_SCALED,PRECIP_TOTAL_MM_LAG_2_SCALED,RH2M_PCT_LAG_2_SCALED,TEMP_MEAN_C_LAG_2_SCALED,TEMP_MAX_C_LAG_2_SCALED,TEMP_MIN_C_LAG_2_SCALED,DENGUE_CASES_LAG_2_SCALED,PRECIP_TOTAL_MM_LAG_1_SCALED,RH2M_PCT_LAG_1_SCALED,TEMP_MEAN_C_LAG_1_SCALED,TEMP_MAX_C_LAG_1_SCALED,TEMP_MIN_C_LAG_1_SCALED,DENGUE_CASES_LAG_1_SCALED
2016-01-01,TRAIN,160,0.1290322580645161,0.4999999999999999,0.8660254037844386,0.03240430069043677,0.7322404371584701,0.0,0.1277445109780438,0.3058161350844278,0.1048387096774194,0.0348275399275265,0.6567312468951817,0.1309859154929577,0.1756487025948104,0.3780487804878049,0.07258064516129033,0.06283272938755424,0.3944361649279686,0.3436619718309862,0.258150365934797,0.400562851782364,0.07741935483870968,0.04514681101716399,0.3005464480874321,0.7042253521126762,1.0,0.5600375234521576,0.02419354838709677,0.07985505301301839,0.1251862891207158,0.9408450704225354,0.729208250166334,0.8639774859287055,0.05,0.09428264662461415,0.2419274714356683,0.9661971830985917,0.500998003992016,0.9643527204502815,0.132258064516129,0.3315662327204402,0.5509190263288622,0.7126760563380282,0.479707252162342,0.7861163227016887,0.3419354838709677,0.2156757482217152,0.5434674615002487,0.7788732394366201,0.3965402528276777,0.7711069418386494,0.8725806451612903,0.136573763402377,0.6621957277694985,0.7605633802816901,0.3619427811044575,0.8405253283302064,0.9370967741935484,0.2805365424476953,0.7600596125186291,0.6154929577464792,0.4005322687957418,0.7110694183864916,0.6854838709677419,0.03752665563160799,0.7898658718330849,0.4577464788732395,0.1337325349301396,0.6031894934333959,0.414516129032258,0.4237760777822513,0.8400397416790861,0.3718309859154931,0.1689953426480372,0.5084427767354597,0.04838709677419355
2016-02-01,TRAIN,84,0.06774193548387097,0.8660254037844385,0.5000000000000001,0.0348275399275265,0.6567312468951817,0.1309859154929577,0.1756487025948104,0.3780487804878049,0.07258064516129033,0.06283272938755424,0.3944361649279686,0.3436619718309862,0.258150365934797,0.400562851782364,0.07741935483870968,0.04514681101716399,0.3005464480874321,0.7042253521126762,1.0,0.5600375234521576,0.02419354838709677,0.07985505301301839,0.1251862891207158,0.9408450704225354,0.729208250166334,0.8639774859287055,0.05,0.09428264662461415,0.2419274714356683,0.9661971830985917,0.500998003992016,0.9643527204502815,0.132258064516129,0.3315662327204402,0.5509190263288622,0.7126760563380282,0.479707252162342,0.7861163227016887,0.3419354838709677,0.2156757482217152,0.5434674615002487,0.7788732394366201,0.3965402528276777,0.7711069418386494,0.8725806451612903,0.136573763402377,0.6621957277694985,0.7605633802816901,0.3619427811044575,0.8405253283302064,0.9370967741935484,0.2805365424476953,0.7600596125186291,0.6154929577464792,0.4005322687957418,0.7110694183864916,0.6854838709677419,0.03752665563160799,0.7898658718330849,0.4577464788732395,0.1337325349301396,0.6031894934333959,0.414516129032258,0.4237760777822513,0.8400397416790861,0.3718309859154931,0.1689953426480372,0.5084427767354597,0.04838709677419355,0.04030033254298453,0.7004470938897169,0.3098591549295774,0.2022621423819028,0.4230769230769231,0.1290322580645161
2016-03-01,TRAIN,78,0.06290322580645161,1.0,6.123233995736766e-17,0.06283272938755424,0.3944361649279686,0.3436619718309862,0.258150365934797,0.400562851782364,0.07741935483870968,0.04514681101716399,0.3005464480874321,0.7042253521126762,1.0,0.5600375234521576,0.02419354838709677,0.07985505301301839,0.1251862891207158,0.9408450704225354,0.729208250166334,0.8639774859287055,0.05,0.09428264662461415,0.2419274714356683,0.9661971830985917,0.500998003992016,0.9643527204502815,0.132258064516129,0.3315662327204402,0.5509190263288622,0.7126760563380282,0.479707252162342,0.7861163227016887,0.3419354838709677,0.2156757482217152,0.5434674615002487,0.7788732394366201,0.3965402528276777,0.7711069418386494,0.8725806451612903,0.136573763402377,0.6621957277694985,0.7605633802816901,0.3619427811044575,0.8405253283302064,0.9370967741935484,0.2805365424476953,0.7600596125186291,0.6154929577464792,0.4005322687957418,0.7110694183864916,0.6854838709677419,0.03752665563160799,0.7898658718330849,0.4577464788732395,0.1337325349301396,0.6031894934333959,0.414516129032258,0.4237760777822513,0.8400397416790861,0.3718309859154931,0.1689953426480372,0.5084427767354597,0.04838709677419355,0.04030033254298453,0.7004470938897169,0.3098591549295774,0.2022621423819028,0.4230769230769231,0.1290322580645161,0.0322104415514696,0.6865375062096374,0.232394366197183,0.1949434464404524,0.4230769230769231,0.06774193548387097
2016-04-01,TRAIN,38,0.03064516129032258,0.8660254037844387,-0.4999999999999997,0.04514681101716399,0.3005464480874321,0.7042253521126762,1.0,0.5600375234521576,0.02419354838709677,0.07985505301301839,0.1251862891207158,0.9408450704225354,0.729208250166334,0.8639774859287055,0.05,0.09428264662461415,0.2419274714356683,0.9661971830985917,0.500998003992016,0.9643527204502815,0.132258064516129,0.3315662327204402,0.5509190263288622,0.7126760563380282,0.479707252162342,0.7861163227016887,0.3419354838709677,0.2156757482217152,0.5434674615002487,0.7788732394366201,0.3965402528276777,0.7711069418386494,0.8725806451612903,0.136573763402377,0.6621957277694985,0.7605633802816901,0.3619427811044575,0.8405253283302064,0.9370967741935484,0.2805365424476953,0.7600596125186291,0.6154929577464792,0.4005322687957418,0.7110694183864916,0.6854838709677419,0.03752665563160799,0.7898658718330849,0.4577464788732395,0.1337325349301396,0.6031894934333959,0.414516129032258,0.4237760777822513,0.8400397416790861,0.3718309859154931,0.1689953426480372,0.5084427767354597,0.04838709677419355,0.04030033254298453,0.7004470938897169,0.3098591549295774,0.2022621423819028,0.4230769230769231,0.1290322580645161,0.0322104415514696,0.6865375062096374,0.232394366197183,0.1949434464404524,0.4230769230769231,0.06774193548387097,0.0194753873454719,0.4207650273224048,0.5845070422535211,0.605455755156354,0.6041275797373359,0.06290322580645161
2016-05-01,TRAIN,42,0.03387096774193549,0.4999999999999999,-0.8660254037844386,0.07985505301301839,0.1251862891207158,0.9408450704225354,0.729208250166334,0.8639774859287055,0.05,0.09428264662461415,0.2419274714356683,0.9661971830985917,0.500998003992016,0.9643527204502815,0.132258064516129,0.3315662327204402,0.5509190263288622,0.7126760563380282,0.479707252162342,0.7861163227016887,0.3419354838709677,0.2156757482217152,0.5434674615002487,0.7788732394366201,0.3965402528276777,0.7711069418386494,0.8725806451612903,0.136573763402377,0.6621957277694985,0.7605633802816901,0.3619427811044575,0.8405253283302064,0.9370967741935484,0.2805365424476953,0.7600596125186291,0.6154929577464792,0.4005322687957418,0.7110694183864916,0.6854838709677419,0.03752665563160799,0.7898658718330849,0.4577464788732395,0.1337325349301396,0.6031894934333959,0.414516129032258,0.4237760777822513,0.8400397416790861,0.3718309859154931,0.1689953426480372,0.5084427767354597,0.04838709677419355,0.04030033254298453,0.7004470938897169,0.3098591549295774,0.2022621423819028,0.4230769230769231,0.1290322580645161,0.0322104415514696,0.6865375062096374,0.232394366197183,0.1949434464404524,0.4230769230769231,0.06774193548387097,0.0194753873454719,0.4207650273224048,0.5845070422535211,0.605455755156354,0.6041275797373359,0.06290322580645161,0.02253985296529921,0.0,0.9408450704225354,0.6906187624750495,0.8339587242026266,0.03064516129032258
2016-06-01,TRAIN,138,0.1112903225806452,1.224646799147353e-16,-1.0,0.09428264662461415,0.2419274714356683,0.9661971830985917,0.500998003992016,0.9643527204502815,0.132258064516129,0.3315662327204402,0.5509190263288622,0.7126760563380282,0.479707252162342,0.7861163227016887,0.3419354838709677,0.2156757482217152,0.5434674615002487,0.7788732394366201,0.3965402528276777,0.7711069418386494,0.8725806451612903,0.136573763402377,0.6621957277694985,0.7605633802816901,0.3619427811044575,0.8405253283302064,0.9370967741935484,0.2805365424476953,0.7600596125186291,0.6154929577464792,0.4005322687957418,0.7110694183864916,0.6854838709677419,0.03752665563160799,0.7898658718330849,0.4577464788732395,0.1337325349301396,0.6031894934333959,0.414516129032258,0.4237760777822513,0.8400397416790861,0.3718309859154931,0.1689953426480372,0.5084427767354597,0.04838709677419355,0.04030033254298453,0.7004470938897169,0.3098591549295774,0.2022621423819028,0.4230769230769231,0.1290322580645161,0.0322104415514696,0.6865375062096374,0.232394366197183,0.1949434464404524,0.4230769230769231,0.06774193548387097,0.0194753873454719,0.4207650273224048,0.5845070422535211,0.605455755156354,0.6041275797373359,0.06290322580645161,0.02253985296529921,0.0,0.9408450704225354,0.6906187624750495,0.8339587242026266,0.03064516129032258,0.1354478891722215,0.3015399900645804,0.942253521126761,0.5834996673320023,0.9587242026266418,0.03387096774193549
2016-07-01,TRAIN,296,0.2387096774193548,-0.4999999999999997,-0.8660254037844387,0.3315662327204402,0.5509190263288622,0.7126760563380282,0.479707252162342,0.7861163227016887,0.3419354838709677,0.2156757482217152,0.5434674615002487,0.7788732394366201,0.3965402528276777,0.7711069418386494,0.8725806451612903,0.136573763402377,0.6621957277694985,0.7605633802816901,0.3619427811044575,0.8405253283302064,0.9370967741935484,0.2805365424476953,0.7600596125186291,0.6154929577464792,0.4005322687957418,0.7110694183864916,0.6854838709677419,0.03752665563160799,0.7898658718330849,0.4577464788732395,0.1337325349301396,0.6031894934333959,0.414516129032258,0.4237760777822513,0.8400397416790861,0.3718309859154931,0.1689953426480372,0.5084427767354597,0.04838709677419355,0.04030033254298453,0.7004470938897169,0.3098591549295774,0.2022621423819028,0.4230769230769231,0.1290322580645161,0.0322104415514696,0.6865375062096374,0.232394366197183,0.1949434464404524,0.4230769230769231,0.06774193548387097,0.0194753873454719,0.4207650273224048,0.5845070422535211,0.605455755156354,0.6041275797373359,0.06290322580645161,0.02253985296529921,0.0,0.9408450704225354,0.6906187624750495,0.8339587242026266,0.03064516129032258,0.1354478891722215,0.3015399900645804,0.942253521126761,0.5834996673320023,0.9587242026266418,0.03387096774193549,0.134366751666443,0.5201192250372583,0.8394366197183102,0.419827012641384,0.956848030018762,0.1112903225806452
2016-08-01,TRAIN,714,0.5758064516129032,-0.8660254037844383,-0.5000000000000003,0.2156757482217152,0.5434674615002487,0.7788732394366201,0.3965402528276777,0.7711069418386494,0.8725806451612903,0.136573763402377,0.6621957277694985,0.7605633802816901,0.3619427811044575,0.8405253283302064,0.9370967741935484,0.2805365424476953,0.7600596125186291,0.6154929577464792,0.4005322687957418,0.7110694183864916,0.6854838709677419,0.03752665563160799,0.7898658718330849,0.4577464788732395,0.1337325349301396,0.6031894934333959,0.414516129032258,0.4237760777822513,0.8400397416790861,0.3718309859154931,0.1689953426480372,0.5084427767354597,0.04838709677419355,0.04030033254298453,0.7004470938897169,0.3098591549295774,0.2022621423819028,0.4230769230769231,0.1290322580645161,0.0322104415514696,0.6865375062096374,0.232394366197183,0.1949434464404524,0.4230769230769231,0.06774193548387097,0.0194753873454719,0.4207650273224048,0.5845070422535211,0.605455755156354,0.6041275797373359,0.06290322580645161,0.02253985296529921,0.0,0.9408450704225354,0.6906187624750495,0.8339587242026266,0.03064516129032258,0.1354478891722215,0.3015399900645804,0.942253521126761,0.5834996673320023,0.9587242026266418,0.03387096774193549,0.134366751666443,0.5201192250372583,0.8394366197183102,0.419827012641384,0.956848030018762,0.1112903225806452,0.2249138818055742,0.5017386984600101,0.8126760563380283,0.3619427811044575,0.9146341463414633,0.2387096774193548
2016-09-01,TRAIN,322,0.2596774193548387,-1.0,-1.83697019872103e-16,0.136573763402377,0.6621957277694985,0.7605633802816901,0.3619427811044575,0.8405253283302064,0.9370967741935484,0.2805365424476953,0.7600596125186291,0.6154929577464792,0.4005322687957418,0.7110694183864916,0.6854838709677419,0.03752665563160799,0.7898658718330849,0.4577464788732395,0.1337325349301396,0.6031894934333959,0.414516129032258,0.4237760777822513,0.8400397416790861,0.3718309859154931,0.1689953426480372,0.5084427767354597,0.04838709677419355,0.04030033254298453,0.7004470938897169,0.3098591549295774,0.2022621423819028,0.4230769230769231,0.1290322580645161,0.0322104415514696,0.6865375062096374,0.232394366197183,0.1949434464404524,0.4230769230769231,0.06774193548387097,0.0194753873454719,0.4207650273224048,0.5845070422535211,0.605455755156354,0.6041275797373359,0.06290322580645161,0.02253985296529921,0.0,0.9408450704225354,0.6906187624750495,0.8339587242026266,0.03064516129032258,0.1354478891722215,0.3015399900645804,0.942253521126761,0.5834996673320023,0.9587242026266418,0.03387096774193549,0.134366751666443,0.5201192250372583,0.8394366197183102,0.419827012641384,0.956848030018762,0.1112903225806452,0.2249138818055742,0.5017386984600101,0.8126760563380283,0.3619427811044575,0.9146341463414633,0.2387096774193548,0.3035461310189534,0.7620466964729258,0.7183098591549295,0.322022621423819,0.9577861163227017,0.5758064516129032
2016-10-01,TRAIN,200,0.1612903225806452,-0.8660254037844385,0.5,0.2805365424476953,0.7600596125186291,0.6154929577464792,0.4005322687957418,0.7110694183864916,0.6854838709677419,0.03752665563160799,0.7898658718330849,0.4577464788732395,0.1337325349301396,0.6031894934333959,0.414516129032258,0.4237760777822513,0.8400397416790861,0.3718309859154931,0.1689953426480372,0.5084427767354597,0.04838709677419355,0.04030033254298453,0.7004470938897169,0.3098591549295774,0.2022621423819028,0.4230769230769231,0.1290322580645161,0.0322104415514696,0.6865375062096374,0.232394366197183,0.1949434464404524,0.4230769230769231,0.06774193548387097,0.0194753873454719,0.4207650273224048,0.5845070422535211,0.605455755156354,0.6041275797373359,0.06290322580645161,0.02253985296529921,0.0,0.9408450704225354,0.6906187624750495,0.8339587242026266,0.03064516129032258,0.1354478891722215,0.3015399900645804,0.942253521126761,0.5834996673320023,0.9587242026266418,0.03387096774193549,0.134366751666443,0.5201192250372583,0.8394366197183102,0.419827012641384,0.956848030018762,0.1112903225806452,0.2249138818055742,0.5017386984600101,0.8126760563380283,0.3619427811044575,0.9146341463414633,0.2387096774193548,0.3035461310189534,0.7620466964729258,0.7183098591549295,0.322022621423819,0.9577861163227017,0.5758064516129032,0.1462518081092769,0.7009438648782914,0.7070422535211269,0.351962741184298,0.8696060037523451,0.2596774193548387
