Model,a_intercept,b_slope,n_points
Ensemble,-120.5951839058624,0.030946180892782574,12
LSTM,31.829246483864814,0.005713317595484202,12
RandomForest,-253.9989933706438,0.054681527918386874,12
XGBoost,-390.2575116276104,0.0735771596423141,12
